State,Divorce Rate
Alaska,3.1
Alabama,3.6
Arkansas,3.6
Arizona,2.7
California,0
Colorado,3
Connecticut,2.5
Delaware,2.6
District of Columbia,2.6
Florida,3.4
Georgia,2.2
Hawaii,0
Iowa,2.3
Idaho,3.4
Illinois,1.3
Indiana,0
Kansas,1.9
Kentucky,3.3
Louisiana,2.2
Massachusetts,1
Maryland,1.6
Maine,2.7
Michigan,2.3
Minnesota,0
Missouri,2.9
Mississippi,3.3
Montana,2.5
North Carolina,3.2
North Dakota,2.9
Nebraska,2.6
New Hampshire,2.6
New Jersey,2.2
New Mexico,0
Nevada,4.2
New York,2.2
Ohio,2.6
Oklahoma,3.8
Oregon,2.7
Pennsylvania,2.4
Rhode Island,2.7
South Carolina,2.4
South Dakota,2.5
Tennessee,3.3
Texas,1.4
Utah,3.3
Virginia,3.1
Vermont,2.3
Washington,2.9
Wisconsin,2.1
West Virginia,2.9
Wyoming,3.7
United States,3.2
