State,Police,First Line Police/Detectives,Tranzit Police
Alabama,12570,1180,0
Alaska,1310,270,0
Arizona,11850,2320,0
Arkansas,5200,1710,0
California,70090,7790,0
Colorado,10140,2130,0
Connecticut,6410,1670,0
Delaware,1860,370,0
Florida,47000,8310,90
Georgia,21140,7640,320
Hawaii,2360,630,0
Idaho,3160,820,0
Illinois,29290,6900,80
Indiana,12470,1300,0
Iowa,5090,1360,0
Kansas,5920,2140,0
Kentucky,6460,1900,0
Louisiana,13080,2950,0
Maine,2080,440,0
Maryland,10280,6440,0
Massachusetts,17450,4380,0
Michigan,16350,2480,0
Minnesota,9020,2120,0
Mississippi,7520,1330,0
Missouri,12300,3210,0
Montana,1940,350,0
Nebraska,3320,660,0
Nevada,5620,1240,0
New Hampshire,2900,640,0
New Jersey,20510,5520,310
New Mexico,4610,970,0
New York,50600,10450,1460
North Carolina,20480,4810,0
North Dakota,1710,210,0
Ohio,24150,3650,0
Oklahoma,8900,1520,0
Oregon,4880,1250,0
Pennsylvania,25210,4460,50
Rhode Island,1760,780,0
South Carolina,11640,1390,0
South Dakota,1830,200,0
Tennessee,12650,4790,30
Texas,59290,6550,270
Utah,5200,1210,0
Vermont,870,200,0
Virginia,17190,3220,300
Washington,8960,2700,0
West Virginia,3190,350,0
Wisconsin,11530,1390,0
Wyoming,1230,350,0
District of Columbia,0,0,0
United States,650570,130650,2910
